id,name_ja,name_en,name_vi,name_zh,desc_ja,desc_en,desc_vi,desc_zh,type,image_url,start_date,end_date,calculate_at,target,reward_points,status,created_at,updated_at
"019ce160-6b44-7326-9bb7-1eef7aeffe81",春の1000KMウォーキングチャレンジ,Spring 1000KM Walking Challenge,Thử thách đi bộ 1000KM mùa xuân,春季1000公里步行挑战,春の期間中に合計1000km歩いて、健康的な生活を楽しみましょう。,Walk a total of 1000 km during the spring season and stay active while enjoying the fresh air.,Hoàn thành 1000 km đi bộ trong mùa xuân và tận hưởng không khí trong lành.,在春季期间完成1000公里步行，保持健康并享受户外活动。,1,/storage/contests/019ce160-6b44-7326-9bb7-1eef7aeffe81/1773921721.jpg,2026-03-12 00:00:00,2026-03-25 00:00:00,2026-03-25 06:00:00,1000,500,1,2026-03-12 16:28:38,2026-03-19 10:15:39
"019ce162-3bd6-71ef-88b4-6c18305af5aa",週末ステップチャレンジ,Weekend Step Challenge,Thử thách bước chân cuối tuần,周末步数挑战,"週末に10,000歩を達成して、アクティブな週末を過ごしましょう。","Walk 10,000 steps this weekend and boost your energy with a fun walking goal.",Hoàn thành 10.000 bước đi trong cuối tuần để duy trì năng lượng và sức khỏe.,"在周末完成10,000步，让你的周末更加健康和充满活力。",1,/storage/contests/019ce162-3bd6-71ef-88b4-6c18305af5aa/1773921734.jpg,2026-03-12 00:00:00,2026-03-19 00:00:00,2026-03-20 00:00:00,2000,800,2,2026-03-12 16:30:37,2026-03-19 09:58:00
"019ce163-66a8-723e-a99d-bc38081d0bd2",夏のフィットネスウォーク,Summer Fitness Walk,Đi bộ khỏe mạnh mùa hè,夏季健身步行挑战,夏の間に150km歩いて、健康的なライフスタイルを維持しましょう。,Walk 150 km during summer and maintain an active and healthy lifestyle.,Đi bộ 150 km trong mùa hè để duy trì lối sống năng động và khỏe mạnh.,在夏季完成150公里步行，保持活力与健康。,1,/storage/contests/019ce163-66a8-723e-a99d-bc38081d0bd2/1773921757.jpg,2026-03-12 00:00:00,2026-03-28 00:00:00,2026-03-29 00:00:00,150,700,1,2026-03-12 16:31:53,2026-03-19 22:59:26
"019ce164-9bbe-721d-b287-aa42b04e6210",グローバル500KMチームウォーク,Global 500KM Team Walk,Thử thách đội nhóm 500KM,全球500公里团队步行挑战,チームで協力して合計500kmを達成しましょう。,Work together with other participants to reach a total of 500 km as a team.,Cùng đồng đội chinh phục mục tiêu 500 km và xây dựng tinh thần đồng đội.,与团队成员一起完成500公里的共同目标。,1,/storage/contests/019ce164-9bbe-721d-b287-aa42b04e6210/1773921774.jpg,2026-03-12 00:00:00,2026-04-01 00:00:00,2026-04-02 00:00:00,500,1500,1,2026-03-12 16:33:13,2026-03-12 16:33:13
"019d0054-1eec-7107-aac4-b05ef5e13409",グローバルランニングレース2026,Global Running Race 2026,Giải Chạy Toàn Cầu 2026,全球跑步竞赛2026,世界中のランナーと一緒に参加できるエキサイティングなレースイベントです。自分の限界に挑戦し、持久力を高め、ランキング上位を目指しましょう。,"Join runners from around the world in this exciting race event. Challenge yourself, improve your endurance, and compete for the top position on the leaderboard.","Tham gia giải chạy hấp dẫn cùng các vận động viên trên toàn thế giới. Thử thách bản thân, nâng cao sức bền và cạnh tranh vị trí cao trên bảng xếp hạng.",与来自世界各地的跑者一起参与这场激动人心的比赛。挑战自我，提高耐力，并在排行榜上争夺领先位置。,2,/storage/contests/019d0054-1eec-7107-aac4-b05ef5e13409/1773921786.jpg,2026-03-18 00:00:00,2026-03-31 00:00:00,2026-04-01 00:00:00,3000,500,1,2026-03-18 16:43:26,2026-03-18 16:43:26
"019d005a-bdf3-7216-b6d9-4b0c1c5ed6af",グローバル・スプリントチャレンジ2026,Global Sprint Challenge 2026,Thử Thách Chạy Nước Rút Toàn Cầu 2026,全球短跑挑战赛2026,スピードの興奮を体感できるグローバル・スプリントチャレンジです。短距離レースで限界に挑戦し、ランキング上位を目指しましょう。,"Experience the thrill of speed in this global sprint challenge. Compete in short-distance races, push your limits, and race your way to the top of the leaderboard.","Trải nghiệm tốc độ bùng nổ trong thử thách chạy nước rút toàn cầu. Tham gia các cự ly ngắn, vượt qua giới hạn bản thân và vươn lên dẫn đầu bảng xếp hạng.",在这场全球短跑挑战赛中体验速度的激情。参与短距离竞速，突破自我，在排行榜上争夺领先位置。,3,/storage/contests/019d005a-bdf3-7216-b6d9-4b0c1c5ed6af/1773921798.jpg,2026-03-18 00:00:00,2026-04-01 00:00:00,2026-04-02 00:00:00,2000,700,1,2026-03-18 16:50:40,2026-03-18 16:52:45
"01d92661-daa9-4c25-91a3-8466ca482fad",4月2000kmウォーキングチャレンジ フェーズ 2,April 2000KM Walking Challenge Phase 2,Thử thách đi bộ 2000KM tháng 4 Giai đoạn 2,四月2000公里步行挑战 阶段 2,4月に2000km歩いて限界に挑戦しましょう。,Walk 2000 km in April and challenge your limits.,Đi bộ 2000 km trong tháng 4 để thử thách giới hạn.,在四月挑战2000公里步行极限。,1,/storage/contests/01d92661-daa9-4c25-91a3-8466ca482fad/1773921806.jpg,2026-03-04 00:00:00,2026-04-17 00:00:00,2026-04-18 16:32:00,2000,1600,1,2026-03-12 16:40:39,2026-03-18 08:10:53
1192002e-860d-41de-a553-1b94c099297f,グローバル500KMチームウォーク,Global 500KM Team Walk,Thử thách đội nhóm 500KM,全球500公里团队步行挑战,チームで協力して合計500kmを達成しましょう。,Work together with other participants to reach a total of 500 km as a team.,Cùng đồng đội chinh phục mục tiêu 500 km và xây dựng tinh thần đồng đội.,与团队成员一起完成500公里的共同目标。,1,/storage/contests/1192002e-860d-41de-a553-1b94c099297f/1773921833.jpg,2026-03-10 00:00:00,2026-04-07 00:00:00,2026-04-08 19:52:00,500,700,1,2026-03-12 16:40:39,2026-03-18 08:11:10
17970212-3f5c-4c69-91ef-c4235d243f65,春の1000KMウォーキングチャレンジ フェーズ 5,Spring 1000KM Walking Challenge Phase 5,Thử thách đi bộ 1000KM mùa xuân Giai đoạn 5,春季1000公里步行挑战 阶段 5,春の期間中に合計1000km歩いて、健康的な生活を楽しみましょう。,Walk a total of 1000 km during the spring season and stay active while enjoying the fresh air.,Hoàn thành 1000 km đi bộ trong mùa xuân và tận hưởng không khí trong lành.,在春季期间完成1000公里步行，保持健康并享受户外活动。,1,/storage/contests/17970212-3f5c-4c69-91ef-c4235d243f65/1773921845.jpg,2026-03-02 00:00:00,2026-04-12 00:00:00,2026-04-13 20:28:00,1000,1300,1,2026-03-12 16:40:39,2026-03-18 08:11:29
191c14de-0b40-4e42-a49d-35fd73370d22,週末ステップチャレンジ フェーズ 3,Weekend Step Challenge Phase 3,Thử thách bước chân cuối tuần Giai đoạn 3,周末步数挑战 阶段 3,"週末に10,000歩を達成して、アクティブな週末を過ごしましょう。","Walk 10,000 steps this weekend and boost your energy with a fun walking goal.",Hoàn thành 10.000 bước đi trong cuối tuần để duy trì năng lượng và sức khỏe.,"在周末完成10,000步，让你的周末更加健康和充满活力。",1,/storage/contests/191c14de-0b40-4e42-a49d-35fd73370d22/1773921853.jpg,2026-03-01 00:00:00,2026-04-02 00:00:00,2026-04-03 19:15:00,10000,1000,1,2026-03-12 16:40:39,2026-03-18 08:11:44
